Кратер на обратной стороне Луны назван в честь китайского чиновника, который был (предположительно) первым человеком, побывавшим в космосе. Как его звали?,Ван Ху
Характеристики экипировки с особыми бонусами талантов будут усилены на какой процент при экипировке командира с соответствующим талантом?,30%
Фейжоада считается национальным блюдом какой страны?,Бразилия
Впервые созданная в Древней Греции, к какой профессии относится клятва Гиппократа?,Врачи
Рыба с жареным картофелем берет свое самое раннее происхождение в какой стране?,Англия
Фокачча - это разновидность хлеба, похожего на пиццу. Какая страна (и ее кулинарная культура) создала фокаччу?,Италия
Фуа-гра - очень богатая питательными веществами пища. Какая страна производит больше всего фуа-гра?,Франция
За каждого 1 отряда, которого вы тренируете в своем городе, сколько экспедиционных юнитов вы получаете в режиме экспедиции?,1.0
За сколько франков выкупил Карл V у Бертрана дю Геклена во время конфликта из-за Бретани?,100000.0
От какой болезни Эдвард Дженнер, известный как отец иммунологии, разработал вакцину?,Оспа
Франция и Германия когда-то были частью какого феодального королевства?,Франция
Национальный день Франции отмечается 14 июля, чтобы совпасть с каким историческим событием?,Штурм Бастилии
С 17 по 19 века Королевство Пруссия находилось в основном в какой современной стране?,Германия
С 8-го по 11-й век н.э., как европейцы часто называли скандинавских захватчиков, которые часто разоряли их земли?,Викинги
Эксперимент Галилея с Пизанской башней опроверг теорию какого древнегреческого ученого?,Аристотель
Глобальное потепление НЕ приведет к:,Падение уровня моря
По какому из следующих результатов губернаторы не могут зарабатывать очки активности?,Экспедиции
Комету Галлея можно наблюдать с Земли каждая...,75-76 лет
Сколько времени заняла первая церемония вручения премии «Оскар» в 1929 году?,15 минут
Иероглифы были частью официальной письменности в какой стране?,Древний Египет
Эпос Гомера «Илиада» фокусируется на событиях, происходящих во время какой войны или битвы?,Троянская война
Как получить кредиты Alliance Technology Credits?,Пожертвовав на исследования Alliance Technology
Как получить очки Alliance Technology Points?,Пожертвовав на исследования Alliance Technology
Как получить достижение "Друг Королевства"?,Посетите 100 племенных деревень
Какое место в ежедневном рейтинге Каньона Сансет вам нужно занять, чтобы получить ежедневные награды «Золотой ключик»?,В топ-5
Как долго длилась Столетняя война между Англией и Францией?,116 лет
Как долго действует буст "Базовое расширение армии"?,4ч
Как долго руна, выпавшая после победы над Стражами, остается на карте?,8 часов
Сколько «Сокровищ снаряжения Золотого королевства» содержится в золотом сундуке, заработанном на 16-м этапе события «Золотое королевство»?,3.0
Сколько стрел застряло в щите командира Лохара?,4.0
Сколько зверей вы можете ожидать увидеть, сражаясь бок о бок с войсками варваров 20 уровня в Rise of Kingdoms?,1 медведь и 2 волка
Сколько костей в норме у взрослого человека?,206.0
Сколько лучников тренируется в стрельбе из лука во время тренировки составных лучников?,3.0
Сколько всего карт в руках Таинственного Торговца?,5.0
Сколько ежедневных очков активности нужно в «Люцернских свитках», чтобы получить подсказку «Ежедневный подарок»?,50.0
Сколько дней в високосном году?,366 дней
Сколько депеш нужно выполнить на Государственном форуме, чтобы открыть Благодарность за отправку?,15.0
Сколько пасхальных яиц изображено в рамке аватара для пасхальных яиц?,5.0
Сколько изумрудов изображено на одежде командора Матильды Фландрской?,5.0
Сколько флагов вывешено перед Центром Альянса французской цивилизации?,6.0
Сколько шестеренок изображено на иконке для экономической технологии "Машиностроение"?,2.0
Сколько голов нужно забить игроку, чтобы оформить хет-трик?,3.0
Сколько золотых ключей присуждается губернатору, занявшему первое место в каждом сезоне Каньона Сансет?,5.0
Сколько ураганов было зарегистрировано вокруг Тихого океана в 1977 году?,4.0
Сколько индивидуальных кредитов можно заработать, продавая чертежи обычного снаряжения с помощью функции возврата в магазине альянса?,400.0
Сколько индивидуальных заданий включает в себя экспедиция?,90.0
Сколько предметов одинакового качества нужно надеть, чтобы выполнить задание «К бою»?,6.0
Сколько ключевых очков нужно, чтобы открыть сокровищницу синего кристалла в подарках альянса?,3000000.0
Сколько ключей входит в Подарок Альянса, полученный за разрушение Форта варваров 5 уровня?,60.0
Сколько ключей входит в подарок альянса «Деревянный сундук»?,10.0
Сколько клавиш в типичном современном пианино?,88.0
Сколько легендарных скульптур командира получит игрок, занявший первое место в общем рейтинге в событии «Самый могущественный губернатор»?,180.0
Сколько букв используется в сегодняшней версии английского языка?,26.0
Сколько Медалей Завоевателя нужно для покупки Легендарной Скульптуры Командира в Магазине Медалей в режиме Экспедиция?,1500.0
Сколько минут ускорений можно получить, купив «Запас ускорения на 7 дней» в дополнение к немедленной награде в 1 050 самоцветов?,3 150 минут
Сколько обычной железной руды вам нужно, чтобы сделать продвинутую железную руду?,4.0
Сколько офицеров (не считая лидера альянса) может быть в альянсе?,8.0
Сколько золотых олимпийских медалей завоевал афроамериканский спортсмен Джесси Оуэнс в 1936 году?,4.0
Сколько патрульных солдат бродит по стенам губернатора?,7.0
Сколько фаз в событии «Самый могущественный губернатор»?,5.0
Сколько игроков в настольной игре Го?,2.0
Сколько очков можно заработать за 1 очко улучшенной силы в сегменте «Этап 4: Улучшение могущества» события «Самый могущественный губернатор»?,2.0
Сколько очков начисляется за каждого тяжело раненого/убитого отряда 3-го уровня в сегменте «Этап 5: Уничтожение врага» события «Могучий губернатор»?,4.0
Сколько белых медведей изображено на рамке аватара «Сердце Севера»?,3.0
Сколько обновлений доступно за одно посещение Таинственного торговца?,5.0
Сколько сундуков с наградами можно получить за достижение 60 очков ежедневной активности?,3.0
Сколько роз изображено на рамке для аватара «Лепестки роз»?,4.0
Сколько скаутов может вместить скаутский лагерь одновременно?,3.0
Сколько разделов публикуется в «Газете Царства» за исключением особых событий календаря?,5.0
На сколько отдельных ханств или империй распалась Монгольская империя к моменту смерти Хубилая в 1294 году?,4.0
Сколько маленьких палаток можно увидеть в Форте варваров 3 уровня?,6.0
Сколько звезд изображено на знамени, вывешенном позади командира Минамото-но Ёсицунэ?,3.0
Сколько студентов слушают лекции стипендиатов Лицея мудрости?,6.0
Сколько команд участвовало в чемпионате мира 2022 года?,32.0
Сколько команд приняло участие в первом чемпионате мира?,13.0
Сколько палаток изображено на иконке для военно-технического «Лагеря»?,3.0
Сколько клеток занимает мэрия в вашем городе?,9 х 9
Сколько раз вы можете получить помощь альянса, если ваш Центр альянсов 14-го уровня?,18.0
Сколько раз вы можете получить помощь альянса, если ваш центр альянса 25-го уровня?,30.0
Сколько раз Северная Корея квалифицировалась на чемпионат мира?,Два раза
Сколько раз используется символ «1» при написании от цифры 1 до цифры 99?,20.0
Сколько войск рекомендуется для уничтожения Форта варваров 3 уровня?,480,000 Lvl 3 единицы
Сколько войск могут отправить губернаторы с ратушей 17-го уровня или выше?,4.0
Сколько VIP-очков можно купить за 200 самоцветов?,200.0
Сколько сторожевых башен входит в город 25 уровня?,8.0
Сколько колес на таране?,6.0
Сколько женских чемпионатов мира выиграла Меган Рапино?,2.0
Сколько титулов чемпиона мира выиграла Италия?,4.0
Сколько титулов Кубка мира выиграл Пеле?,3.0
Сколько лет проходит между зимними Олимпийскими играми?,4.0
Сколько мест предоставляет госпиталь 15-го уровня (без учета бустов)?,29000.0
На сколько 12-часовой предмет «Усиленная атака» увеличивает атаку ваших войск?,5%
Сколько опыта получает командир за фолиант знаний 7 уровня?,50000.0
Сколько золота стоит один номер «Газеты Царства»?,1000.0
Сколько войск подкрепления получит город на 20 уровне Центра Альянса?,575000.0
Сколько камня будет добывать карьер 17-го уровня каждый час (без учета бустов)?,2775.0
Какой суммарный ежедневный взнос требуется для того, чтобы занять место в рейтинге ежедневных взносов альянса?,10000.0
Насколько предмет «Усиленная атака» (Продвинутый) увеличит вашу атаку?,10%
Насколько улучшенный предмет увеличит вашу скорость сбора?,50%
Как часто проходит чемпионат мира по футболу?,Каждые 4 года
Как часто проводится Чемпионат мира по футболу?,Каждые 4 года
Как Библия Гутенберга была запущена в массовое производство?,Печатная машина подвижного типа
Если у мужчины с группой крови IV и женщины с группой крови III будет ребенок, какое из этих утверждений будет НЕ корректным?,У него может быть I группа крови
Водопад Игуасу находится на границе каких двух стран?,Бразилия и Аргентина
Что Платон определяет в «Государстве» как «высшую форму»?,Форма добра
В 1582 году Ода Нобунага был предан и попал в засаду своего генерала Акэти Мицухидэ. Где это произошло?,Храм Хонно-дзи в Киото
В 1970 году миссия «Аполлон» попыталась высадиться на Луну. Из-за технической проблемы ему удалось только облететь вокруг Луны и вернуться на Землю. Как называлась миссия?	Аполлон-13
Какой вратарь в 1970 году сделал «сейв века» в ворота Пеле?,Гордон Бэнкс
В 2002 году ФИФА опубликовала выбранную болельщиками команду мечты чемпионата мира. Кто был вратарем?,Лев Яшин
В 2010 году, в возрасте 71 года, Отто Рехагель стал самым пожилым человеком, руководившим командой Кубка мира. Какой командой он руководил?,Греция
Какая страна в 2018 году установила рекорд как наименее населенная страна, когда-либо участвовавшая в чемпионате мира?,Исландия
В 2026 году США, Мексика и Канада совместно примут чемпионат мира по футболу. Сколько команд будет участвовать?,48.0
Что из перечисленного в Древнем Египте не было привилегией быть «писцом»?,Освобожден от оплаты медицинских расходов в случае болезни
В Древней Греции какой город-государство возглавлял Делосский союз?,Афины
Какой философ в Древней Греции любил обсуждать идеи на улице, которая затем получила прозвище «Перипатетическая школа»?,Аристотель
Кто был верховной жрицей храма Аполлона в Дельфах в Древней Греции?,Пифия
Кто был отцом Гермеса в древнегреческой мифологии?,Зевс
Кем в древнегреческой мифологии была жена Аида, царя подземного мира?,Персефона
Сколько телепортов в «Ковчеге Осириса» получает первый альянс, захвативший обелиск?,8.0
Какое влияние оказывает навык «Буря в пустыне» на вражеские войска в «Ковчеге Осириса»?,Наносит урон умениям
Какие требования предъявляются к альянсу в «Ковчеге Осириса» для участия в Золотом поле битвы?,Входит в топ-20 по силе альянса в своем королевстве.
В «Ковчеге Осириса» куда вы должны взять Ковчег?,Невражеское здание
Какое ускорение можно использовать в Ark of Osiris?,Ускорение исцеления
Кто в китайской династии Хань открыл Шелковый путь по приказу императора У-ди?,Чжан Цянь
Что это за существо в китайской мифологии Цзинвэй?,Птица
В комиксах DC каково настоящее имя Бэтмена?,Брюс Уэйн
В романе французского писателя Стендаля «Красное и черное» как зовут честолюбивого главного героя?,Жюльен
Сколько пропусков нужно пройти в Золотом королевстве, чтобы получить Золотой сундук?,4 прохода
Кому в греческой мифологии Парис, князь Трои, подарил золотое яблоко с надписью «Прекраснейшей богине»?,Афродита
Как в греческой мифологии известна богиня Эос?,Богиня Зари
Каковы отношения между Зевсом и Гермесом в греческой мифологии?,Отец и сын
Что было единственным слабым местом Ахиллеса в греческой мифологии?,Его каблуки
Как в греческой мифологии звали трехголового пса Аида, который охранял врата подземного мира?,Цербер
Какой герой греческой мифологии искал золотое руно?,Ясон
В греческой мифологии какой герой ездил верхом на летающем коне Пегасе?,Беллерофонт
Кто является героем греческой мифологии, известным тем, что украл огонь у богов и дал его человечеству?,Прометей
В греческой мифологии кто сбил с пути колесницу солнца, подожгая землю?,Фаэтон
В своем игровом диалоге Клеопатра VII упоминает, что он был убит своими же сенаторами?,Юлий Цезарь
В своем игровом диалоге, кого Лохар называет «самым жестоким человеком», которого он когда-либо встречал?,Верховный вождь Гавар
В эпосе Гомера «Илиада» какая из следующих богинь НЕ участвовала в конкурсе на Золотое яблоко?,Артемида
В Японии на входе в какие здания обычно ставят ворота «тории»?,Святыни
Какой фрукт в Японии называют «плодом бессмертия»?,Татибана
Сколько уровней в мифологии майя существует на небесах и в подземном мире вместе взятых?,22.0
Какова длина в точках между двумя словами в азбуке Морзе?,7 точек
В большинстве случаев, у какого льва грива?,Взрослый мужчина
В мифологии кого поразила свинцовая стрела Эроса?,Волчеягодник
В скандинавской мифологии вороны Хугинн и Мунинн были спутниками какого бога?,Один
В скандинавской мифологии, какой разновидностью деревьев было Мировое Древо?,Зола
Кому в скандинавской мифологии принадлежит молот Мьёльнир?,Тор
Кто в скандинавской мифологии владел оружием Гунгнир?,Один
Сколько солдат в РК стоит перед воротами вашего города?,2.0
В РК катафракт является особым подразделением какой цивилизации?,Византия
В РК хваранг является особым подразделением какой цивилизации?,Корея
В РК янычары являются особым подразделением какой цивилизации?,Османская империя
В РК Метательный Топор является особым юнитом какой цивилизации?,Франция
В РК есть дорога, вымощенная золотыми кирпичами, которую можно приобрести за 100 самоцветов. Как это называется?,Королевская дорога
Что нужно сделать в РК, чтобы выполнить квест "Меч Короля"?,Наберите 200 пехотинцев
Какое максимальное количество золотых рудников в РК может построить игрок?,4.0
Какое в РК прозвище командира Констанция?,Королева Сицилии
В каком здании РК вы можете посмотреть историю своего королевства?,Памятник
Какой командир в РК может развеять вражеские баффы атаки?,Мухомор
В РК какой полководец имеет прозвище "Королева Сицилии"?,Констанция
В РК какой полководец обладает навыком "Красота и мудрость"?,Клеопатра VII
Какой полководец в РК носит титул «Возлюбленный Тота»?,Тутмос III
В РК какой полководец носит прозвище "Королева Силла"?,Сондок
В какой главе «Хроник Королевства» в РК требуется полностью исследовать весь туман в вашем королевстве?,Долгий покой
В РК, какие из навыков Сунь Цзы усиливаются благодаря его опыту?,Военное искусство
Какое из перечисленных вооружений в РК можно использовать с арочной формацией?,Эмблема Севера
В РК, кого из следующих персонажей упоминает Сунь Цзы в своем диалоге с Доверием?,Мулан
Какие из следующих украшений в РК необходимо покупать за самоцветы?,Ваза
Что из перечисленного в РК считается буст-предметом?,Щит Мира
В РК, что из перечисленного НЕ является одним из навыков Мулан?,Умное сердце
Кто из этих командиров в РК НЕ умеет руководить отрядами лучников?,Саладин
С каким животным в римской мифологии часто ассоциируется богиня Минерва?,Сова
Какое прозвище получил первый царь в истории России за их тиранию?,Иван Грозный
В шекспировском «Макбете» главный герой убивает короля Шотландии Дункана. Как зовут старшего сына Дункана?,Малкольм
На какой позиции в футболе разрешено касаться мяча руками, когда он находится в штрафной площади своей команды?,Вратарь
Сколько войск вы можете разместить в Sunset Canyon одновременно?,5.0
В серии комиксов «Бэтмен» от DC Comics, какая итерация Робина умерла в результате голосования читателей?,Джейсон Тодд (Красный колпак)
Сколько очков вы получите на этапе «Сбор ресурсов» события «Могучий губернатор» за сбор 1 самоцвета?,150.0
Какую болезнь в 16-17 веках лечили знаменитые «чумные доктора» в птичьих масках?,Бубонная чума
На чемпионате мира 1966 года тренер сборной Англии Альф Рэмзи начал использовать уникальную схему, которая привела Англию к титулу чемпиона мира. Чем примечательна эта формация?,Нет вингеров
На чемпионате мира 2006 года Швейцария не пропустила ни одного гола в регулярном матче. Кто был их вратарем?,Паскаль Цубербюлер
Кто был единственным английским игроком, забившим пенальти на чемпионате мира 2006 года в четвертьфинальном матче сборной Англии против Португалии?,Оуэн Харгривз
В финале чемпионата мира 2010 года между Испанией и Нидерландами какой испанский игрок забил победный гол?,Андрес Иньеста
На чемпионате мира 2010 года какой вратарь отразил два пенальти в основное время?,Брэд Фридель
В финале чемпионата мира 2014 года между Германией и Аргентиной какой немецкий игрок забил победный гол?,Марио Гетце
На чемпионате мира по футболу 2014 года, проходившем в Бразилии, в скольких городах проходили матчи?,12.0
На чемпионате мира 2014 года, проходившем в Бразилии, сколько команд Африканской конфедерации футбола квалифицировались на турнир?,5.0
На чемпионате мира 2014 года какая из следующих команд не попала в одну группу с будущим чемпионом Германией?,Англия
На чемпионате мира 2018 года Тибо Куртуа получил награду «Золотая перчатка» как лучший вратарь. Из какой он страны?,Бельгия
На чемпионате мира 2018 года какие еще страны были в группе G для Англии?,Бельгия, Панама, Тунис
На чемпионате мира 2018 года какая из следующих команд не попала в ту же группу, что и будущий чемпион Франция?,Германия
На чемпионате мира 2022 года сколько команд прошли групповой этап в плей-офф?,16.0
На чемпионате мира по футболу 2022 года какие две команды остались в университетских общежитиях?,Аргентина, Испания
Кто на чемпионате мира по футболу 2022 года встретился с принимающей страной Катаром в стартовом матче?,Эквадор
На чемпионате мира по футболу 2022 года кто был первой командой, которая вылетела?,Катар
Кто был главным противником Юлия Цезаря во время гражданской войны в Риме в 49 г. до н.э.?,Гней Помпей Магнус
Кто в Книге Исход ведет еврейский народ в Землю Обетованную?,Моисей
Какой бафф получают командиры в роли «Стража Кровавого Кулака» на странице ВИДА КОМАНДИРА?,Здоровье войск +1%
Какой бафф получают командиры в режиме «Командир» на странице «ВИД КОМАНДИРА»?,Атака войск +1%
Какой бафф получают командиры, выступающие в роли «Железной гвардии» на странице «ВИД КОМАНДИРА»?,Здоровье войск +1%
Какой бафф получают командиры в роли «Рейнджера» на странице «ВИД КОМАНДИРА»?,Ни один из этих ответов не является правильным
Какой бафф получают командиры в роли «Налогового инспектора» на странице «ВИД КОМАНДИРА»?,Скорость сбора +5%
В соревновании за «Золотую бутсу», если два игрока забили одинаковое количество голов, как определяется победитель?,Помогает
Как игроки могут получить награды в событии «Желание победы»?,Подготовка войск
В «Изумрудной скрижали» Гермес Трисмегист утверждает, что содержит «три части мудрости всего мира». Что из этого НЕ является одной из трех частей?,Видоизменение
В сказке братьев Гримм «Бременские музыканты» группа животных вместе отправляется в Бремен, чтобы стать музыкантами. Какое из перечисленных ниже животных НЕ входит в группу?,Свинья
Как в событии «Испытание Лохара» игроки могут получить костяные ожерелья?,Победа над обычными варварами
